No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
12049,2013,5,13,18,1,59,33,62,18,65.19,1007,25,SE,117,0,0
12050,2013,5,13,19,1,49,43,56,18,69.2,1007,24,SE,124,0,0
12051,2013,5,13,20,1,43,43,48,18,73.5,1008,23,SE,129,0,0
12052,2013,5,13,21,1,43,41,47,18,73.5,1008,23,SE,134,0,0
12053,2013,5,13,22,1,42,32,42,18,78.09,1008,22,SE,140,0,0
12054,2013,5,13,23,1,39,36,37,18,78.09,1008,22,SE,146,0,0
12055,2013,5,14,0,1,36,31,36,18,83.01,1008,21,SE,153,0,0
12056,2013,5,14,1,1,,31,36,18,83.01,1008,21,SE,160,0,0
12057,2013,5,14,2,1,36,27,37,18,83.01,1007,21,SE,166,0,0
12058,2013,5,14,3,1,35,41,38,18,88.28,1007,20,SE,172,0,0
12059,2013,5,14,4,1,38,39,36,18,88.28,1007,20,SE,178,0,0
12060,2013,5,14,5,1,44,72,38,18,88.28,1007,20,SE,183,0,0
12061,2013,5,14,6,1,63,51,40,18,88.28,1008,20,SE,189,0,0
12062,2013,5,14,7,1,55,38,44,18,78.09,1008,22,SE,193,0,0
12063,2013,5,14,8,1,44,44,44,19,78.24,1008,23,SE,199,0,0
12064,2013,5,14,9,1,43,38,39,19,69.4,1008,25,SE,205,0,0
12065,2013,5,14,10,1,46,40,41,19,61.67,1008,27,SE,211,0,0
12066,2013,5,14,11,1,47,39,45,19,58.17,1008,28,SE,217,0,0
12067,2013,5,14,12,1,48,37,45,18,54.65,1007,28,SE,223,0,0
12068,2013,5,14,13,1,47,42,39,18,51.57,1007,29,SE,229,0,0
12069,2013,5,14,14,1,46,41,42,18,51.57,1006,29,SE,235,0,0
12070,2013,5,14,15,1,46,39,43,18,51.57,1006,29,SE,242,0,0
12071,2013,5,14,16,1,37,36,39,18,54.65,1006,28,SE,248,0,0
12072,2013,5,14,17,1,37,31,34,18,54.65,1006,28,SE,254,0,0
12073,2013,5,14,18,1,34,26,32,18,57.93,1006,27,SE,258,0,0
12074,2013,5,14,19,1,34,19,32,18,65.19,1006,25,SE,263,0,0
12075,2013,5,14,20,1,31,40,40,19,73.67,1007,24,SE,268,0,0
12076,2013,5,14,21,1,40,41,43,19,78.24,1007,23,SE,273,0,0
12077,2013,5,14,22,1,41,29,44,19,78.24,1008,23,SE,278,0,0
12078,2013,5,14,23,1,40,34,,20,88.45,1008,22,SE,283,0,0
12079,2013,5,15,0,1,39,30,,20,88.45,1008,22,SE,287,0,0
12080,2013,5,15,1,1,34,21,31,19,83.13,1008,22,SE,293,0,0
12081,2013,5,15,2,1,,15,21,20,88.45,1007,22,SE,300,0,0
12082,2013,5,15,3,1,,18,23,20,88.45,1007,22,SE,305,0,0
12083,2013,5,15,4,1,19,13,23,19,83.13,1007,22,SE,308,0,0
12084,2013,5,15,5,1,25,34,29,19,83.13,1007,22,NE,4,0,0
12085,2013,5,15,6,1,35,34,34,20,88.45,1008,22,NE,7,0,0
12086,2013,5,15,7,1,35,22,35,20,83.25,1008,23,NE,12,0,0
12087,2013,5,15,8,1,32,28,29,20,78.39,1008,24,NE,17,0,0
12088,2013,5,15,9,1,35,24,28,20,78.39,1009,24,NE,22,0,0
12089,2013,5,15,10,1,34,19,31,20,73.84,1009,25,NE,28,0,0
12090,2013,5,15,11,1,25,17,28,20,73.84,1009,25,SE,6,0,0
12091,2013,5,15,12,1,27,33,27,20,73.84,1008,25,NE,6,0,0
12092,2013,5,15,13,1,29,29,24,21,78.53,1008,25,NE,13,0,0
12093,2013,5,15,14,1,37,36,24,21,83.37,1008,24,NE,19,0,0
12094,2013,5,15,15,1,36,24,25,21,88.54,1007,23,NE,26,0,0
12095,2013,5,15,16,1,31,39,28,20,78.39,1007,24,NE,32,0,0
12096,2013,5,15,17,1,38,38,35,20,83.25,1007,23,NE,39,0,0
12097,2013,5,15,18,1,39,19,35,20,88.45,1007,22,NE,45,0.1,0.1
12098,2013,5,15,19,1,31,13,26,20,88.45,1007,22,NE,52,0.5,0.6
12099,2013,5,15,20,1,26,23,24,20,88.45,1008,22,NE,57,1.2,1.8
12100,2013,5,15,21,1,18,7,21,20,94.03,1008,21,NE,63,0.8,2.6
12101,2013,5,15,22,1,16,8,16,20,94.03,1009,21,NE,68,0,0
12102,2013,5,15,23,1,18,5,,19,88.37,1009,21,NE,73,0.2,0.2
12103,2013,5,16,0,1,14,6,,19,88.37,1008,21,NE,80,0.1,0.3
12104,2013,5,16,1,1,12,9,,19,93.98,1008,20,NE,85,0.5,0.8
12105,2013,5,16,2,1,13,10,,19,93.98,1007,20,NE,91,0.3,1.1
12106,2013,5,16,3,1,15,15,11,19,93.98,1007,20,NE,95,0,0
12107,2013,5,16,4,1,21,14,16,19,93.98,1007,20,NE,100,0.6,0.6
12108,2013,5,16,5,1,21,19,18,19,93.98,1007,20,NE,105,0.7,1.3
12109,2013,5,16,6,1,20,15,15,18,88.28,1008,20,NE,111,0.7,2
12110,2013,5,16,7,1,17,18,12,19,93.98,1008,20,NE,116,0.8,2.8
12111,2013,5,16,8,1,10,10,10,19,93.98,1009,20,NE,121,0.7,3.5
12112,2013,5,16,9,1,12,9,8,19,93.98,1009,20,NE,126,0.5,4
12113,2013,5,16,10,1,11,,8,19,88.37,1009,21,NE,132,3,7
12114,2013,5,16,11,1,14,,15,20,94.03,1009,21,NE,138,0.5,7.5
12115,2013,5,16,12,1,14,7,,20,94.03,1009,21,NE,143,0.5,8
12116,2013,5,16,13,1,14,20,,20,94.03,1009,21,NE,149,0.6,8.6
12117,2013,5,16,14,1,16,6,,19,88.37,1008,21,NE,155,0.7,9.3
12118,2013,5,16,15,1,13,10,11,19,88.37,1008,21,NE,161,3.1,12.4
12119,2013,5,16,16,1,12,13,10,19,88.37,1008,21,NE,168,2.1,14.5
12120,2013,5,16,17,1,14,20,14,19,88.37,1008,21,NE,175,1.2,15.7
12121,2013,5,16,18,1,20,31,21,19,93.98,1008,20,NE,182,0.2,15.9
12122,2013,5,16,19,1,33,39,27,19,93.98,1009,20,NE,189,0.1,16
12123,2013,5,16,20,1,38,41,33,19,93.98,1009,20,NE,198,0,0
12124,2013,5,16,21,1,40,39,39,18,88.28,1010,20,NE,205,0.7,0.7
12125,2013,5,16,22,1,35,31,34,18,88.28,1011,20,NE,211,0.2,0.9
12126,2013,5,16,23,1,26,21,,18,88.28,1010,20,NE,219,0.2,1.1
12127,2013,5,17,0,1,22,22,,18,88.28,1010,20,NE,226,0.6,1.7
12128,2013,5,17,1,1,21,20,21,18,88.28,1010,20,NE,233,0.5,2.2
12129,2013,5,17,2,1,17,19,13,18,88.28,1010,20,NE,237,4.3,6.5
12130,2013,5,17,3,1,11,10,,18,93.94,1009,19,NE,242,4.4,10.9
12131,2013,5,17,4,1,9,10,,18,93.94,1009,19,NE,247,1.2,12.1
12132,2013,5,17,5,1,11,9,11,17,88.2,1010,19,NE,253,2.1,14.2
12133,2013,5,17,6,1,15,23,17,17,88.2,1010,19,NE,258,1.6,15.8
12134,2013,5,17,7,1,17,29,19,17,88.2,1011,19,NE,264,1.2,17
12135,2013,5,17,8,1,22,27,21,18,93.94,1011,19,NE,270,0.3,17.3
12136,2013,5,17,9,1,22,26,20,18,93.94,1011,19,NE,276,1.1,18.4
12137,2013,5,17,10,1,22,34,22,18,93.94,1011,19,NE,282,0.9,19.3
12138,2013,5,17,11,1,26,29,23,19,93.98,1011,20,NE,288,0.8,20.1
12139,2013,5,17,12,1,30,33,25,18,88.28,1011,20,SE,6,0.9,21
12140,2013,5,17,13,1,32,31,29,18,88.28,1011,20,NE,5,1,22
12141,2013,5,17,14,1,29,32,30,19,93.98,1010,20,SE,6,0.9,22.9
12142,2013,5,17,15,1,32,40,35,18,88.28,1010,20,SE,11,0.2,23.1
12143,2013,5,17,16,1,35,27,37,19,93.98,1009,20,NE,4,0.8,23.9
12144,2013,5,17,17,1,28,24,27,18,88.28,1009,20,SE,4,0.7,24.6
12145,2013,5,17,18,1,30,39,29,18,93.94,1010,19,SE,7,1.1,25.7
12146,2013,5,17,19,1,45,49,42,18,93.94,1010,19,NE,4,0.3,26
12147,2013,5,17,20,1,51,52,44,18,93.94,1010,19,NE,7,0,0
12148,2013,5,17,21,1,52,44,44,18,88.28,1010,20,NE,12,0,0
12149,2013,5,17,22,1,48,42,43,18,88.28,1010,20,NE,17,0.1,0.1
12150,2013,5,17,23,1,49,49,43,18,88.28,1010,20,SE,5,0,0
12151,2013,5,18,0,1,49,27,44,18,93.94,1009,19,SE,9,0,0
12152,2013,5,18,1,1,,30,42,18,93.94,1008,19,SE,13,0,0
12153,2013,5,18,2,1,38,32,35,18,93.94,1008,19,SE,17,0.1,0.1
12154,2013,5,18,3,1,31,31,32,18,93.94,1008,19,SE,20,0.2,0.3
12155,2013,5,18,4,1,28,17,29,19,100,1007,19,SE,23,0.4,0.7
12156,2013,5,18,5,1,23,23,25,19,100,1007,19,SE,26,0.2,0.9
12157,2013,5,18,6,1,25,22,25,19,93.98,1007,20,SE,29,0,0
12158,2013,5,18,7,1,24,32,28,19,93.98,1007,20,SE,33,0.1,0.1
12159,2013,5,18,8,1,24,27,28,19,93.98,1006,20,SE,37,0.1,0.2
12160,2013,5,18,9,1,30,30,30,19,93.98,1006,20,SE,41,0,0
12161,2013,5,18,10,1,35,28,33,20,94.03,1006,21,SE,44,0.7,0.7
12162,2013,5,18,11,1,37,31,41,20,94.03,1006,21,SW,3,0.6,1.3
12163,2013,5,18,12,1,37,32,44,20,94.03,1005,21,SE,4,1,2.3
12164,2013,5,18,13,1,46,48,44,21,94.07,1004,22,SW,3,0.1,2.4
12165,2013,5,18,14,1,53,47,45,21,94.07,1004,22,SW,6,0,0
12166,2013,5,18,15,1,59,56,55,20,88.45,1003,22,SW,10,0,0
12167,2013,5,18,16,1,66,57,59,20,88.45,1003,22,SW,13,0,0
12168,2013,5,18,17,1,77,69,76,20,88.45,1002,22,SW,16,0,0
12169,2013,5,18,18,1,99,85,95,20,88.45,1003,22,SW,19,0,0
12170,2013,5,18,19,1,93,66,81,20,94.03,1003,21,NW,3,0,0
12171,2013,5,18,20,1,84,60,68,19,88.37,1003,21,NW,6,0,0
12172,2013,5,18,21,1,88,76,81,20,94.03,1003,21,NW,9,0,0
12173,2013,5,18,22,1,94,78,86,19,88.37,1004,21,NW,12,0,0
12174,2013,5,18,23,1,92,63,,19,88.37,1004,21,NW,16,0,0
12175,2013,5,19,0,1,80,63,,19,88.37,1004,21,NW,21,0,0
12176,2013,5,19,1,1,64,57,65,17,82.89,1003,20,NW,27,0,0
12177,2013,5,19,2,1,63,57,61,16,82.77,1003,19,NW,33,0,0
12178,2013,5,19,3,1,68,57,61,16,88.11,1004,18,NW,37,0,0
12179,2013,5,19,4,1,84,82,73,16,88.11,1004,18,NW,42,0,0
12180,2013,5,19,5,1,99,102,97,16,88.11,1004,18,NW,46,0,0
12181,2013,5,19,6,1,115,111,105,16,82.77,1004,19,NW,50,0,0
12182,2013,5,19,7,1,121,112,110,17,88.2,1005,19,NW,55,0,0
12183,2013,5,19,8,1,110,79,103,16,77.79,1005,20,NW,62,0,0
12184,2013,5,19,9,1,93,83,93,16,68.81,1004,22,NW,69,0,0
12185,2013,5,19,10,1,104,101,90,16,64.76,1005,23,NW,76,0,0
12186,2013,5,19,11,1,113,94,101,15,60.74,1004,23,NW,83,0,0
12187,2013,5,19,12,1,120,107,108,15,57.2,1004,24,NW,89,0,0
12188,2013,5,19,13,1,126,99,117,16,54.14,1003,26,NW,94,0,0
12189,2013,5,19,14,1,124,99,119,15,50.78,1004,26,NW,98,0,0
12190,2013,5,19,15,1,118,103,112,14,44.89,1003,27,NW,103,0,0
12191,2013,5,19,16,1,116,101,114,15,50.78,1003,26,NW,107,0,0
12192,2013,5,19,17,1,121,104,118,13,44.61,1003,26,NW,111,0,0
12193,2013,5,19,18,1,124,112,111,17,61.21,1003,25,SW,5,0,0
12194,2013,5,19,19,1,126,104,118,17,69.01,1004,23,SW,7,0,0
12195,2013,5,19,20,1,132,86,114,17,69.01,1004,23,SW,9,0,0
12196,2013,5,19,21,1,110,88,93,16,68.81,1004,22,SW,11,0,0
12197,2013,5,19,22,1,104,80,89,17,82.89,1004,20,SE,3,0,0
12198,2013,5,19,23,1,94,72,83,17,82.89,1004,20,SE,5,0,0
12199,2013,5,20,0,1,90,73,78,17,88.2,1004,19,SE,7,0,0
12200,2013,5,20,1,1,90,74,87,16,82.77,1004,19,SW,2,0,0
12201,2013,5,20,2,1,89,71,91,16,88.11,1004,18,SW,3,0,0
12202,2013,5,20,3,1,104,78,88,17,88.2,1004,19,SE,1,0,0
12203,2013,5,20,4,1,117,83,95,17,88.2,1004,19,SE,2,0,0
12204,2013,5,20,5,1,127,96,110,17,88.2,1004,19,SE,3,0,0
12205,2013,5,20,6,1,129,118,128,18,88.28,1005,20,SE,4,0,0
12206,2013,5,20,7,1,137,137,146,18,78.09,1005,22,NE,2,0,0
12207,2013,5,20,8,1,145,120,154,16,54.14,1005,26,cv,1,0,0
12208,2013,5,20,9,1,130,90,136,17,57.69,1006,26,NW,2,0,0
12209,2013,5,20,10,1,117,91,106,16,45.44,1006,29,SW,3,0,0
12210,2013,5,20,11,1,120,83,98,16,42.9,1005,30,cv,3,0,0
12211,2013,5,20,12,1,112,93,84,16,40.52,1005,31,SW,2,0,0
12212,2013,5,20,13,1,109,78,83,14,37.73,1004,30,NW,3,0,0
12213,2013,5,20,14,1,104,119,102,13,35.35,1004,30,NW,7,0,0
12214,2013,5,20,15,1,116,119,131,14,37.73,1004,30,SW,3,0,0
12215,2013,5,20,16,1,137,109,123,15,45.16,1004,28,SW,8,0,0
12216,2013,5,20,17,1,130,101,114,15,47.88,1004,27,SW,12,0,0
12217,2013,5,20,18,1,108,102,111,15,50.78,1004,26,SW,15,0,0
12218,2013,5,20,19,1,121,127,119,15,53.88,1004,25,SW,18,0,0
12219,2013,5,20,20,1,153,139,138,16,60.98,1005,24,SW,21,0,0
12220,2013,5,20,21,1,159,139,148,16,60.98,1005,24,SE,2,0,0
12221,2013,5,20,22,1,150,111,149,16,64.76,1005,23,SE,4,0,0
12222,2013,5,20,23,1,127,98,,16,64.76,1005,23,SE,6,0,0
12223,2013,5,21,0,1,129,111,,16,68.81,1005,22,SE,8,0,0
12224,2013,5,21,1,1,131,107,129,16,73.14,1005,21,SE,9,0,0
12225,2013,5,21,2,1,134,113,133,16,77.79,1005,20,SW,1,0,0
12226,2013,5,21,3,1,139,116,140,17,82.89,1005,20,SE,2,0,0
12227,2013,5,21,4,1,135,104,139,17,88.2,1005,19,SE,3,0,0
12228,2013,5,21,5,1,126,110,139,17,88.2,1005,19,SE,5,0,0
12229,2013,5,21,6,1,127,106,136,18,88.28,1006,20,SE,7,0,0
12230,2013,5,21,7,1,125,110,137,18,69.2,1006,24,SW,2,0,0
12231,2013,5,21,8,1,118,104,119,17,54.39,1006,27,SW,3,0,0
12232,2013,5,21,9,1,110,84,116,13,37.44,1006,29,SE,2,0,0
12233,2013,5,21,10,1,96,83,113,11,29.27,1006,31,SE,5,0,0
12234,2013,5,21,11,1,91,72,93,11,29.27,1006,31,SE,8,0,0
12235,2013,5,21,12,1,85,61,93,8,22.61,1005,32,SE,12,0,0
12236,2013,5,21,13,1,81,57,75,8,22.61,1005,32,SE,16,0,0
12237,2013,5,21,14,1,67,45,72,9,25.6,1005,31,SW,5,0,0
12238,2013,5,21,15,1,52,35,57,7,22.35,1005,31,SE,6,0,0
12239,2013,5,21,16,1,48,36,43,6,22.09,1005,30,SE,12,0,0
12240,2013,5,21,17,1,62,49,59,10,30.71,1005,29,SE,17,0,0
12241,2013,5,21,18,1,62,53,63,11,36.87,1005,27,SE,22,0,0
12242,2013,5,21,19,1,62,68,69,14,50.51,1005,25,SE,28,0,0
12243,2013,5,21,20,1,78,78,85,16,60.98,1006,24,SE,33,0,0
12244,2013,5,21,21,1,91,88,94,16,64.76,1007,23,SE,37,0,0
12245,2013,5,21,22,1,62,87,98,17,69.01,1007,23,SE,41,0,0
12246,2013,5,21,23,1,101,88,94,18,78.09,1007,22,SE,46,0,0
12247,2013,5,22,0,1,102,86,95,18,78.09,1007,22,SE,51,0,0
12248,2013,5,22,1,1,62,87,99,18,78.09,1006,22,SE,56,0,0
12249,2013,5,22,2,1,108,91,98,18,83.01,1006,21,SE,60,0,0
12250,2013,5,22,3,1,62,89,96,18,83.01,1006,21,SE,63,0,0
12251,2013,5,22,4,1,96,84,98,19,88.37,1006,21,SE,66,0,0
12252,2013,5,22,5,1,92,81,92,19,88.37,1007,21,SE,69,0,0
12253,2013,5,22,6,1,62,78,93,19,88.37,1007,21,SE,72,0,0
12254,2013,5,22,7,1,62,74,93,20,83.25,1007,23,SE,75,0,0
12255,2013,5,22,8,1,78,55,76,20,73.84,1007,25,SE,79,0,0
12256,2013,5,22,9,1,65,37,59,20,65.62,1007,27,SE,84,0,0
12257,2013,5,22,10,1,52,32,42,20,61.9,1007,28,SE,90,0,0
12258,2013,5,22,11,1,50,33,39,20,61.9,1007,28,SE,94,0,0
12259,2013,5,22,12,1,44,29,42,20,61.9,1007,28,SE,99,0,0
12260,2013,5,22,13,1,39,26,36,20,61.9,1007,28,SE,104,0,0
12261,2013,5,22,14,1,38,22,37,20,61.9,1007,28,SE,109,0,0
12262,2013,5,22,15,1,33,21,34,20,61.9,1007,28,SE,115,0,0
12263,2013,5,22,16,1,25,18,35,20,65.62,1007,27,NE,6,0,0
12264,2013,5,22,17,1,29,17,38,20,69.6,1007,26,SE,7,0,0
12265,2013,5,22,18,1,35,18,40,19,69.4,1008,25,SE,13,0,0
12266,2013,5,22,19,1,36,17,37,20,73.84,1009,25,SE,18,0,0
12267,2013,5,22,20,1,35,28,37,19,73.67,1009,24,SE,24,0,0
12268,2013,5,22,21,1,36,36,37,20,83.25,1009,23,SE,29,0,0
12269,2013,5,22,22,1,39,30,41,19,78.24,1010,23,SE,34,0,0
12270,2013,5,22,23,1,32,23,,19,78.24,1010,23,SE,38,0,0
12271,2013,5,23,0,1,32,29,,19,78.24,1009,23,SE,42,0,0
12272,2013,5,23,1,1,30,24,29,19,78.24,1009,23,NE,2,0,0
12273,2013,5,23,2,1,26,27,33,20,83.25,1009,23,NE,5,0,0
12274,2013,5,23,3,1,28,24,27,20,88.45,1009,22,NE,8,0,0
12275,2013,5,23,4,1,37,33,34,20,88.45,1009,22,NE,11,0,0
12276,2013,5,23,5,1,43,21,39,20,88.45,1010,22,NE,15,0,0
12277,2013,5,23,6,1,31,12,31,20,88.45,1010,22,NE,19,0,0
12278,2013,5,23,7,1,23,13,31,20,88.45,1010,22,NE,24,0,0
12279,2013,5,23,8,1,26,20,26,20,88.45,1011,22,NE,29,0,0
12280,2013,5,23,9,1,21,11,22,19,83.13,1012,22,NE,34,0.9,0.9
12281,2013,5,23,10,1,21,24,19,20,83.25,1012,23,NE,39,0.2,1.1
12282,2013,5,23,11,1,24,27,23,20,83.25,1012,23,NE,44,0,0
12283,2013,5,23,12,1,41,38,,20,83.25,1012,23,NE,49,0,0
12284,2013,5,23,13,1,47,46,,20,83.25,1011,23,NE,54,0,0
12285,2013,5,23,14,1,44,45,,20,83.25,1011,23,SE,5,0,0
12286,2013,5,23,15,1,55,55,49,20,78.39,1010,24,NE,3,0,0
12287,2013,5,23,16,1,68,61,52,21,83.37,1010,24,SE,4,0,0
12288,2013,5,23,17,1,69,49,62,20,78.39,1010,24,SE,10,0,0
12289,2013,5,23,18,1,58,46,53,21,88.54,1010,23,SE,14,0,0
12290,2013,5,23,19,1,51,35,51,20,83.25,1010,23,SE,21,0,0
12291,2013,5,23,20,1,46,44,48,20,83.25,1010,23,SE,26,0,0
12292,2013,5,23,21,1,53,56,54,20,83.25,1012,23,SE,31,0,0
12293,2013,5,23,22,1,52,42,59,20,83.25,1012,23,SE,35,0,0
12294,2013,5,23,23,1,58,70,72,19,83.13,1012,22,SE,40,0,0
12295,2013,5,24,0,1,76,76,84,20,88.45,1012,22,SE,44,0,0
12296,2013,5,24,1,1,,80,90,20,88.45,1011,22,SE,48,0,0
12297,2013,5,24,2,1,85,67,92,19,88.37,1011,21,SE,51,0,0
12298,2013,5,24,3,1,86,83,88,19,88.37,1011,21,SE,55,0,0
12299,2013,5,24,4,1,85,69,82,19,88.37,1011,21,SE,58,0,0
12300,2013,5,24,5,1,77,54,77,19,88.37,1011,21,SE,62,0,0
12301,2013,5,24,6,1,71,55,75,20,88.45,1011,22,SE,66,0,0
12302,2013,5,24,7,1,69,61,73,20,83.25,1012,23,SE,70,0,0
12303,2013,5,24,8,1,75,57,71,20,78.39,1012,24,SE,75,0,0
12304,2013,5,24,9,1,72,50,69,20,73.84,1012,25,SE,81,0,0
12305,2013,5,24,10,1,63,53,56,21,74.02,1013,26,SE,87,0,0
12306,2013,5,24,11,1,61,38,,20,61.9,1012,28,SE,93,0,0
12307,2013,5,24,12,1,50,22,,19,54.9,1012,29,SE,99,0,0
12308,2013,5,24,13,1,42,28,30,19,51.83,1011,30,SE,106,0,0
12309,2013,5,24,14,1,38,20,28,19,54.9,1010,29,SE,113,0,0
12310,2013,5,24,15,1,47,33,38,19,51.83,1010,30,SE,120,0,0
12311,2013,5,24,16,1,52,33,39,19,54.9,1010,29,SE,128,0,0
12312,2013,5,24,17,1,51,33,40,19,58.17,1009,28,SE,134,0,0
12313,2013,5,24,18,1,52,40,41,19,65.41,1010,26,SE,141,0,0
12314,2013,5,24,19,1,57,38,44,19,69.4,1010,25,SE,147,0,0
12315,2013,5,24,20,1,54,45,47,19,73.67,1011,24,SE,154,0,0
12316,2013,5,24,21,1,51,34,44,19,73.67,1011,24,SE,160,0,0
12317,2013,5,24,22,1,41,25,35,19,78.24,1011,23,SE,166,0,0
12318,2013,5,24,23,1,36,19,,18,73.5,1011,23,SE,171,0,0
12319,2013,5,25,0,1,33,18,,18,73.5,1011,23,SE,177,0,0
12320,2013,5,25,1,1,32,19,22,18,73.5,1010,23,SE,183,0,0
12321,2013,5,25,2,1,29,17,23,18,73.5,1010,23,SE,188,0,0
12322,2013,5,25,3,1,31,21,24,18,78.09,1010,22,SE,193,0,0
12323,2013,5,25,4,1,31,8,22,18,78.09,1010,22,SE,198,0,0
12324,2013,5,25,5,1,31,24,23,19,83.13,1010,22,SE,204,0,0
12325,2013,5,25,6,1,36,25,23,19,78.24,1010,23,SE,209,0,0
12326,2013,5,25,7,1,37,23,29,19,73.67,1011,24,SE,215,0,0
12327,2013,5,25,8,1,32,16,31,18,61.44,1011,26,SE,222,0,0
12328,2013,5,25,9,1,31,24,26,18,57.93,1011,27,SE,229,0,0
12329,2013,5,25,10,1,32,17,33,17,51.31,1011,28,SE,236,0,0
12330,2013,5,25,11,1,36,22,31,18,54.65,1010,28,SE,243,0,0
12331,2013,5,25,12,1,43,28,34,18,51.57,1010,29,SE,250,0,0
12332,2013,5,25,13,1,45,24,34,19,54.9,1009,29,SE,257,0,0
12333,2013,5,25,14,1,48,27,35,19,54.9,1009,29,SE,264,0,0
12334,2013,5,25,15,1,48,37,36,18,54.65,1009,28,SE,272,0,0
12335,2013,5,25,16,1,49,33,40,19,61.67,1008,27,SE,279,0,0
12336,2013,5,25,17,1,51,34,43,19,65.41,1008,26,SE,286,0,0
12337,2013,5,25,18,1,52,44,47,19,69.4,1008,25,SE,294,0,0
12338,2013,5,25,19,1,53,45,47,19,73.67,1009,24,SE,302,0,0
12339,2013,5,25,20,1,43,42,39,19,78.24,1009,23,SE,310,0,0
12340,2013,5,25,21,1,48,38,36,19,78.24,1009,23,SE,317,0,0
12341,2013,5,25,22,1,50,38,41,19,78.24,1009,23,SE,324,0,0
12342,2013,5,25,23,1,53,37,41,19,78.24,1009,23,SE,333,0,0
